# 在此文件添加词条，每行：拼音 词（拼音可带声调数字 1-5，如 peng2 you5 朋友）
# 保存后双击运行 build_static.py，再把本文件夹部署到静态托管即可热更新
# APK 本地没有这些内容，只从你部署的站点 URL 拉取 wordlist.txt

# === 五金常用词 ===
luosi 螺丝
fushu 负数
zhengshu 整数
youlishu 有理数
wulishu 无理数
shishu 实数
daishushi 代数式
yinshifenjie 因式分解
peifang 配方
qiugengongshi 求根公式
weidadingli 韦达定理
jiefangcheng 解方程
dairu 代入
xiaoyuan 消元
liefangcheng 列方程
shewei 设未知数
zhengming 证明
tuilun 推论
dingli 定理
gongshi 公式
jisuan 计算
yunsuan 运算
jiajian 加减
chengchu 乘除
kaipingfang 开平方
lifang 立方
kailifang 开立方
jueduizhi 绝对值
shuxue 数学
shuxueke 数学课
suan 算
suanchu 算出
daan 答案
jieguo 结果
tiji 体积
biaomianji 表面积
zhijing 直径
banjing 半径
huchang 弧长
shanxing 扇形
tixing 梯形
pingxingsibianxing 平行四边形
zhengfangxing 正方形
changfangxing 长方形
zhengliu 正六边形
duobianxing 多边形
neijiaohe 内角和
waijiao 外角
duijiao 对角
zhongxian 中线
jiaopingfenxian 角平分线
gao 高
zhongxin 重心
waixin 外心
neixin 内心
chuitzu 垂足

# === 老师学生常用词 ===
zuoye 作业
jiaozuoye 交作业
pigai 批改
shangke 上课
xiake 下课
dianming 点名
qingjia 请假
chidao 迟到
zaotui 早退
kaoshi 考试
ceyan 测验
chengji 成绩
fenshu 分数
jige 及格
bujige 不及格
fuxi 复习
yuxi 预习
beisong 背诵
moxie 默写
tingxie 听写
jushou 举手
fayan 发言
taolun 讨论
xiaozu 小组
banzhang 班长
kedabiao 课代表
banzhuren 班主任
nianji 年级
banji 班级
zuowei 座位
heiban 黑板
fenbi 粉笔
keben 课本
bijiben 笔记本
qianbi 铅笔
xiangpi 橡皮
chizi 尺子
yuangui 圆规
shubao 书包
wenjuhe 文具盒
kebiao 课表
kechengbiao 课程表
shangkeling 上课铃
xiakeling 下课铃
shengqi 升旗
zuocao 做操
yanbaojiancao 眼保健操
zhiri 值日
zhirisheng 值日生
dasao 打扫
caheiban 擦黑板
fajuanzi 发卷子
shoujuanzi 收卷子
datika 答题卡
tiantu 填涂
yuejuan 阅卷
pijuan 批卷
jiangping 讲评
dingzheng 订正
cuotiben 错题本
biji 笔记
jibiji 记笔记
tigang 提纲
beike 备课
shangke 讲课
tingli 听力
huida 回答
tiwen 提问
bushi 板书
xiaoke 下课
kejian 课件
touying 投影
PPT PPT
dushu 读书
langdu 朗读
modu 默读
beisong 背诵
chaoxie 抄写
tingxie 听写
zuowen 作文
piping 批评
dianping 点评
haoping 好评
quanmian 全面
renzhen 认真
zhuanyi 专一
jishi 及时
jiaojuan 交卷
shoujuan 收卷
fajuan 发卷
chakan 查看
gaitie 改贴
chengjidan 成绩单
paiming 排名
banjipaiming 班级排名
nianjipaiming 年级排名
sanhaoxuesheng 三好学生
jiangzhuang 奖状
biaoyang 表扬
piping 批评
tixing 提醒
jiazhang 家长
jiazhanghui 家长会
tongzhi 通知
tongzhishu 通知书
qianming 签名
jiazhangzuoye 家长作业
peidu 陪读
songhaizi 送孩子
jiesong 接孩子
shangxue 上学
fangxue 放学
zaozixi 早自习
wanxixi 晚自习
zixike 自习课
tiyuke 体育课
shiyanke 实验课
shangjike 上机课
dianjiaoke 电教课
laoshi 老师
tongxue 同学
xuesheng 学生
tongzhuo 同桌
qianzhuo 前桌
houzhuo 后桌
shifu 师傅
tudi 徒弟
jiaoshi 教室
shiyanshi 实验室
tushuguan 图书馆
caochang 操场
canting 餐厅
sushe 宿舍
bangongshi 办公室
jiaoshibangongshi 教师办公室
zhaojinqi 赵金琪

# === 百家姓 ===
zhao 赵
qian 钱
sun 孙
li 李
zhou 周
wu 吴
zheng 郑
wang 王
feng 冯
chen 陈
chu 褚
wei 卫
jiang 蒋
shen 沈
han 韩
yang 杨
zhu 朱
qin 秦
you 尤
xu 许
he 何
lv 吕
shi 施
zhang 张
kong 孔
cao 曹
yan 严
hua 华
jin 金
wei 魏
tao 陶
jiang 姜
qi 戚
xie 谢
zou 邹
yu 喻
bai 柏
shui 水
dou 窦
zhang 章
yun 云
su 苏
pan 潘
ge 葛
xi 奚
fan 范
peng 彭
lang 郎
lu 鲁
wei 韦
chang 昌
ma 马
miao 苗
feng 凤
hua 花
fang 方
yu 俞
ren 任
yuan 袁
liu 柳
feng 酆
bao 鲍
shi 史
tang 唐
fei 费
lian 廉
ceng 曾
lei 雷
he 贺
ni 倪
tang 汤
teng 滕
yin 殷
luo 罗
bi 毕
hao 郝
wu 邬
an 安
chang 常
yue 乐
yu 于
shi 时
fu 傅
pi 皮
bian 卞
qi 齐
kang 康
wu 伍
yu 余
yuan 元
bu 卜
gu 顾
meng 孟
ping 平
huang 黄
he 和
mu 穆
xiao 萧
yin 尹
yao 姚
shao 邵
zhan 湛
wang 汪
qi 祁
mao 毛
yu 禹
di 狄
mi 米
bei 贝
ming 明
zang 臧
ji 计
fu 伏
cheng 成
dai 戴
tan 谈
song 宋
mao 茅
pang 庞
xiong 熊
ji 纪
shu 舒
qu 屈
xiang 项
zhu 祝
dong 董
liang 梁
du 杜
ruan 阮
lan 蓝
min 闵
xi 席
ji 季
ma 麻
qiang 强
jia 贾
lu 路
lou 娄
wei 危
jiang 江
tong 童
yan 颜
guo 郭
mei 梅
sheng 盛
lin 林
diao 刁
zhong 钟
xu 徐
qiu 邱
luo 骆
gao 高
xia 夏
cai 蔡
tian 田
fan 樊
hu 胡
ling 凌
huo 霍
yu 虞
wan 万
zhi 支
ke 柯
zan 昝
guan 管
lu 卢
mo 莫
jing 经
fang 房
qiu 裘
miao 缪
gan 干
jie 解
ying 应
zong 宗
ding 丁
xuan 宣
ben 贲
deng 邓
yu 郁
shan 单
hao 杭
hong 洪
bao 包
zhu 诸
zuo 左
shi 石
cui 崔
ji 吉
gong 龚
cheng 程
ji 嵇
xing 邢
hua 滑
pei 裴
lu 陆
rong 荣
weng 翁
xun 荀
yang 羊
hui 惠
zhen 甄
qu 曲
jia 家
feng 封
rui 芮
yi 羿
chu 储
ji 汲
bin 邴
mi 糜
song 松
jing 井
duan 段
fu 富
wu 巫
wu 乌
jiao 焦
ba 巴
gong 弓
mu 牧
wei 隗
shan 山
gu 谷
che 车
hou 侯
mi 宓
peng 蓬
quan 全
xi 郗
ban 班
yang 仰
qiu 秋
zhong 仲
yi 伊
gong 宫
ning 宁
qiu 仇
luan 栾
bao 暴
gan 甘
tu 钭
li 厉
rong 戎
zu 祖
wu 武
fu 符
liu 刘
jing 景
zhan 詹
zhi 束
long 龙
ye 叶
xing 幸
si 司
shao 韶
gao 郜
li 黎
ji 蓟
bo 薄
yin 印
su 宿
bai 白
huai 怀
pu 蒲
tai 邰
cong 从
e 鄂
su 索
xian 咸
ji 籍
lai 赖
zhuo 卓
lin 蔺
tu 屠
meng 蒙
chi 池
qiao 乔
yin 阴
yu 郁
xu 胥
neng 能
cang 苍
shuang 双
wen 闻
xin 莘
dang 党
zhai 翟
tan 谭
gong 贡
lao 劳
pang 逄
ji 姬
shen 申
fu 扶
du 堵
ran 冉
zai 宰
li 郦
yong 雍
xi 郤
qu 璩
sang 桑
gui 桂
pu 濮
niu 牛
shou 寿
tong 通
bian 边
hu 扈
yan 燕
ji 冀
jia 郏
pu 浦
shang 尚
nong 农
wen 温
bie 别
zhuang 庄
yan 晏
chu 柴
qu 瞿
yan 阎
rong 容
xiang 向
gu 古
yi 易
shen 慎
gu 戈
liao 廖
yu 庾
zhong 终
ju 暨
ju 居
heng 衡
bu 步
du 都
geng 耿
man 满
hong 弘
kuang 匡
guo 国
wen 文
kou 寇
guang 广
lu 禄
que 阙
dong 东
ou 欧
shu 殳
wei 沃
li 利
wei 蔚
yue 越
kui 夔
long 隆
shi 师
gong 巩
gou 勾
kuang 厍
nie 聂
chao 晁
gou 勾
ao 敖
rong 融
leng 冷
zi 訾
xin 辛
kan 阚
na 那
jian 简
rao 饶
kong 空
zeng 曾
sha 沙
wu 毋
yang 养
ju 鞠
guan 关
kuai 蒯
xiang 相
zha 查
hou 后
jing 荆
hong 红
you 游
zhu 竺
quan 权
lu 逯
ge 盖
yi 益
huan 桓
gong 公
wan 万俟
sima 司马
shangguan 上官
ouyang 欧阳
xiahou 夏侯
zhuge 诸葛
wenren 闻人
dongfang 东方
helian 赫连
huangfu 皇甫
yuchi 尉迟
gongyang 公羊
tantai 澹台
gongye 公冶
zongzheng 宗政
puyang 濮阳
chunyu 淳于
danyu 单于
taishu 太叔
shengtu 申屠
gongsun 公孙
zhongsun 仲孙
xuanyuan 轩辕
linghu 令狐
zhongli 钟离
yuwen 宇文
zhangsun 长孙
muri 慕容
xianyu 鲜于
lianchi 闾丘
situ 司徒
sikong 司空
qiguan 亓官
sikou 司寇
zhang 仉
du 督
zi 子
duanmu 端木
wumu 巫马
gongxi 公西
qidian 漆雕
leye 乐正
rang 壤驷
gongliang 公良
tuoba 拓跋
jiagu 夹谷
zai 宰父
guliang 谷梁
jin 晋
chu 楚
yan 阎
fa 法
ru 汝
yan 鄢
tu 涂
qin 钦
duan 段干
baili 百里
dongguo 东郭
nanmen 南门
huyan 呼延
gui 归
hai 海
yangshe 羊舌
weichi 微生
yue 岳
shuai 帅
gou 缑
kang 亢
kuang 况
hou 侯
you 有
qin 琴
liangqiu 梁丘
zuoqiu 左丘
dongmen 东门
ximen 西门
shang 商
mou 牟
she 佘
bo 佴
bai 伯
dang 赏
nangong 南宫
mo 墨
ha 哈
qia 谯
dang 笪
nian 年
yang 阳
liang 梁
qi 漆
guan 关
fu 福
gu 古
duan 段
tong 佟
tong 仝
qi 亓
guan 冠
huang 皇
pu 浦
mu 慕
lian 连
ruan 阮
lan 蓝
min 闵
xi 席
ji 季
ma 麻
qiang 强
jia 贾
lu 路
lou 娄
wei 危
jiang 江
tong 童
yan 颜
guo 郭
mei 梅
sheng 盛
lin 林
diao 刁
zhong 钟
xu 徐
qiu 邱
luo 骆
gao 高
xia 夏
cai 蔡
tian 田
fan 樊
hu 胡
ling 凌
huo 霍
wan 万
zhi 支
ke 柯
guan 管
lu 卢
mo 莫
fang 房
qiu 裘
miao 缪
gan 干
jie 解
zong 宗
ding 丁
xuan 宣
deng 邓
yu 郁
shan 单
hao 杭
hong 洪
bao 包
zhu 诸
zuo 左
cui 崔
gong 龚
cheng 程
xing 邢
hua 滑
pei 裴
lu 陆
rong 荣
weng 翁
xun 荀
yang 羊
hui 惠
zhen 甄
qu 曲
feng 封
rui 芮
yi 羿
chu 储
bin 邴
song 松
jing 井
duan 段
fu 富
wu 巫
wu 乌
jiao 焦
ba 巴
gong 弓
mu 牧
shan 山
gu 谷
che 车
hou 侯
peng 蓬
quan 全
xi 郗
ban 班
yang 仰
qiu 秋
zhong 仲
yi 伊
gong 宫
ning 宁
qiu 仇
luan 栾
bao 暴
gan 甘
tu 钭
li 厉
rong 戎
zu 祖
wu 武
fu 符
liu 刘
jing 景
zhan 詹
zhi 束
long 龙
ye 叶
xing 幸
si 司
shao 韶
gao 郜
li 黎
ji 蓟
bo 薄
yin 印
su 宿
bai 白
huai 怀
pu 蒲
tai 邰
cong 从
e 鄂
su 索
xian 咸
ji 籍
lai 赖
zhuo 卓
lin 蔺
tu 屠
meng 蒙
chi 池
qiao 乔
yin 阴
xu 胥
neng 能
cang 苍
shuang 双
wen 闻
xin 莘
dang 党
zhai 翟
tan 谭
gong 贡
lao 劳
pang 逄
ji 姬
shen 申
fu 扶
du 堵
ran 冉
zai 宰
li 郦
yong 雍
xi 郤
qu 璩
sang 桑
gui 桂
pu 濮
niu 牛
shou 寿
tong 通
bian 边
hu 扈
yan 燕
ji 冀
jia 郏
pu 浦
shang 尚
nong 农
wen 温
bie 别
zhuang 庄
yan 晏
chu 柴
qu 瞿
yan 阎
rong 容
xiang 向
gu 古
yi 易
shen 慎
gu 戈
liao 廖
ju 居
heng 衡
bu 步
du 都
geng 耿
man 满
hong 弘
kuang 匡
guo 国
wen 文
kou 寇
guang 广
lu 禄
que 阙
dong 东
ou 欧
shu 殳
wei 沃
li 利
yue 越
kui 夔
long 隆
shi 师
gong 巩
nie 聂
chao 晁
ao 敖
rong 融
leng 冷
zi 訾
xin 辛
kan 阚
na 那
jian 简
rao 饶
kong 空
zeng 曾
sha 沙
wu 毋
yang 养
ju 鞠
guan 关
kuai 蒯
xiang 相
zha 查
jing 荆
hong 红
you 游
zhu 竺
quan 权
lu 逯
ge 盖
yi 益
huan 桓
gong 公
