# 本文件：全国省、市、县、村地名（与 wordlist_src.txt 一起被 build_static.py 合并）
# 格式：每行「拼音 词」。区县约2800+、行政村约69万，完整数据可用民政部/统计局区划代码批量生成后追加。

# === 省级（34个） ===
beijingshi 北京市
guyangxian 固阳县
ningchengxian 宁城县
kailuxian 开鲁县
kulunqi 库伦旗
dalateqi 达拉特旗
etuokeqianqi 鄂托克前旗
molidawaqi 莫力达瓦旗
ewenkeqi 鄂温克旗
wuyuanxian 五原县
dengkouxian 磴口县
fengzhenshi 丰镇市
liangchengxian 凉城县
duolunxian 多伦县
zhengxiangbaiqi 正镶白旗
ejinaqi 额济纳旗
liaozhongqu 辽中区
kangpingxian 康平县
fakuxian 法库县
xinminshi 新民市
wafangdianshi 瓦房店市
zhuangheshi 庄河市
haichengshi 海城市
taianxian 台安县
fushunxian 抚顺县
qingyuanxian 清原县
benxixian 本溪县
huanrenxian 桓仁县
donggangshi 东港市
fengchengshi 凤城市
linghaishi 凌海市
beizhenshi 北镇市
gaizhoushi 盖州市
dashiqiaoshi 大石桥市
fuxinxian 阜新县
zhangwuxian 彰武县
dengtashi 灯塔市
liaoyangxian 辽阳县
dawaqu 大洼区
panshanxian 盘山县
tielingxian 铁岭县
kaiyuanshi 开原市
changtuxian 昌图县
beipiaoshi 北票市
lingyuanshi 凌源市
jianpingxian 建平县
suizhongxian 绥中县
xingchengshi 兴城市
jianchangxian 建昌县
nonganxian 农安县
yushushi 榆树市
dehuishi 德惠市
jiutaiqu 九台区
jiaoheshi 蛟河市
huadianshi 桦甸市
shulanshi 舒兰市
panshishi 磐石市
lishuxian 梨树县
yitongxian 伊通县
gongzhulingshi 公主岭市
shuangliaoshi 双辽市
dongfengxian 东丰县
dongliaoxian 东辽县
meihekoushi 梅河口市
jianshi 集安市
tonghuaxian 通化县
huinanxian 辉南县
liuhexian 柳河县
fusongxian 抚松县
jingyuxian 靖宇县
zhangbaixian 长白县
linjiangshi 临江市
qianguoxian 前郭县
zhanglingxian 长岭县
qiananxian 乾安县
fuyushi 扶余市
taonanshi 洮南市
daanshi 大安市
zhenlaixian 镇赉县
tongyuxian 通榆县
yanjishi 延吉市
tumenshi 图们市
dunhuashi 敦化市
huichunshi 珲春市
longjingshi 龙井市
helongshi 和龙市
wangqingxian 汪清县
antuxian 安图县

# === 村名说明与示例 ===
# 全国行政村、自然村数量极大（约69万+），建议从民政部门或统计用区划代码导出后，
# 用脚本转为「拼音 词」格式批量追加。以下为示例村名（可按需增删）。
zhangcun 张村
lizhuang 李庄
wangzhuang 王庄
liucun 刘村
chenzhuang 陈庄
yangcun 杨村
zhaozhuang 赵庄
huangcun 黄村
zhouzhuang 周庄
wucun 吴村
xuzhuang 徐庄
suncun 孙村
mazhuang 马庄
zhucun 朱村
huzhuang 胡庄
guocun 郭村
linzhuang 林庄
hecun 何村
gaozhuang 高庄
luocun 罗村
dongcun 东村
xicun 西村
nancun 南村
beicun 北村
qiancun 前村
houcun 后村
shangcun 上村
xiacun 下村
dacun 大村
xiaocun 小村
xincun 新村
laocun 老村
zhongcun 中村
wangjiacun 王家村
lijiacun 李家村
zhangjiacun 张家村
liujiacun 刘家村
chenjiacun 陈家村
yangjiacun 杨家村
zhaojiacun 赵家村
huangjiacun 黄家村
zhoujiacun 周家村
wujiacun 吴家村
hepingcun 和平村
xingfucun 幸福村
tuanjiecun 团结村
guangmingcun 光明村
shenglicun 胜利村
qianjincun 前进村
hongxingcun 红星村
hongqicun 红旗村
xiangyangcun 向阳村
dongfengcun 东风村
