# 本文件：各职业高频打字词（与 wordlist_src.txt 一起被 build_static.py 合并）
# 格式：每行「拼音 词」

# === 老师学生·高频 ===
shangke 上课
kouwei 口味
kehu 客户
diancan 点餐
shangcai 上菜
jiezhang 结账
shouyin 收银
zaodian 早点
wucan 午餐
wancan 晚餐
yexiao 夜宵

# === 电工维修·高频 ===
jiexian 接线
peidian 配电
kaiguan 开关
chazuo 插座
baoxiansi 保险丝
loudian 漏电
tiaozha 跳闸
weixiu 维修
anzhuang 安装
paicha 排查
dianlu 电路
dianya 电压
dianliu 电流
diangongzheng 电工证
jueyuan 绝缘
jiedi 接地
dianbiao 电表
chaobia 抄表
jiaodian 交电
duanlu 短路
duanluqi 断路器
kongkai 空开
pai 排
xiancao 线槽
dianxian 电线
dianlan 电缆
dengpao 灯泡
led LED
dengguan 灯管
weideng 维灯
anzhuang 安装
weihu 维护
jiance 检测
weixiudian 维修单
shangmen 上门
paigong 派工
wancheng 完成
yanshou 验收
qianshou 签收
gongliao 工料
rengong 人工
feiyong 费用

# === 农民养殖·高频 ===
bozhong 播种
shifei 施肥
jiaoshui 浇水
shouge 收割
dayao 打药
gengdi 耕地
zhongzi 种子
huafei 化肥
nongyao 农药
dapeng 大棚
yangzhi 养殖
siliao 饲料
fangyi 防疫
chulan 出栏
shougou 收购
hezuoshe 合作社
nongji 农机
liangshi 粮食
zhuangjia 庄稼
daomai 稻麦
yumi 玉米
shucai 蔬菜
guoshu 果树
jiaci 家畜
jiqin 家禽
yangzhi 养猪
yangji 养鸡
yangyu 养鱼
xumu 畜牧
yuye 渔业
nongye 农业
tudi 土地
gengdi 耕地
shuidao 水稻
xiaomai 小麦
dajia 打价
maimai 买卖
chengdan 称担
shoukuan 收款
fukuan 付款
nonghu 农户
nongchang 农场
dapeng 大棚
wenshi 温室
jiguang 积光
guangai 灌溉
shouhuo 收获
ruku 入库
chucang 储仓
liangcang 粮仓

# === 职场通用·补充 ===
gongzuo 工作
renwu 任务
jihua 计划
baogao 报告
huiyi 会议
tongzhi 通知
shenpi 审批
qianzi 签字
jiaban 加班
qingjia 请假
daka 打卡
kaohe 考核
jixiao 绩效
gongzi 工资
jiangjin 奖金
ticheng 提成
baoxiao 报销
chuchai 出差
peixun 培训
ruhzhi 入职
lizhi 离职
jiaojie 交接
zhuanzheng 转正
shengzhi 升职
tiaoxin 调薪
hetong 合同
qianshu 签署
bumen 部门
lingdao 领导
tongshi 同事
xiangmu 项目
jiedian 节点
deadline 截止
wancheng 完成
tuijin 推进
genjin 跟进
fankui 反馈
xiafa 下发
luoshi 落实
bushu 部署
