# ========== 原有常用 + 品牌 ==========
nihao 你好
xibian 西边
nanbian 南边
beibian 北边

# ========== 十三、数字量词 ==========
yi 一
er 二
san 三
si 四
wu 五
liu 六
qi 七
ba 八
jiu 九
shi 十
bai 百
qian 千
wan 万
ge 个
zhi 只
tou 头
pi 匹
tiao 条
zhang 张
ba 把
ben 本
zhi 支
ke 颗
li 粒
kuai 块
yuan 元
jiao 角
fen 分
shuang 双
dui 对
qun 群
dian 点
xie 些
ci 次
bian 遍
tang 趟
tian 天

# ========== 十四、其他常用 ==========
shi 是
zai 在
you 有
he 和
yu 与
cuo 错
bu 不
hen 很
dou 都
ye 也
jiu 就
cai 才
hai 还
yijing 已经
jiangyao 将要
ma 吗
ne 呢
a 啊
le 了
zhe 着
guo 过
bei 被
rang 让
zai 再
you 又
feichang 非常
tebie 特别
yidian 一点
youdian 有点
keneng 可能
yiding 一定
juedui 绝对
shizai 实在
zhende 真的
jiade 假的

# ========== 朋友称呼、问候寒暄、日常对话、情绪表达、语气词、动作行为、网络流行语、约会玩耍、关心帮助、告别祝福、家庭称谓与日常、家务劳动、家庭教育、家庭物品、亲情表达、家庭常用词、家庭生活等 ==========
haopengyou 好朋友
jiyou 基友
guimi 闺蜜
sidang 死党
xiongdi 兄弟
jiemei 姐妹
laoda 老大
laoer 老二
xiaodi 小弟
dashanren 搭讪人
qinaide 亲爱的
baobei 宝贝
baobao 宝宝
xiaokeai 小可爱
xiaotiantian 小甜甜
nvshen 女神
nanshen 男神
nvhanzi 女汉子
xuezha 学霸
xuezha 学渣
doubi 逗比
erhuo 二货
chihuo 吃货
shuiyou 睡友
jiuroupengyou 酒肉朋友
chilema 吃了吗
zaoya 早呀
shuilema 睡了吗
zuijinzenmeyang 最近怎么样
haojiubujian 好久不见
zaiganma 在干嘛
mangma 忙吗
youkongma 有空吗
haoma 好吗
xinkule 辛苦了
leima 累吗
ema 饿吗
lengma 冷吗
rema 热吗
shufuma 舒服吗
gaoxingma 高兴吗
xinqingzenmeyang 心情怎么样
zhunikuaile 祝你快乐
zhunihaoyun 祝你好运
zhunichenggong 祝你成功
wandekaixin 玩得开心
lushangxiaoxin 路上小心
zaodianhuilai 早点回来
shima 是吗
zhendema 真的吗
jiadeba 假的吧
buhuiba 不会吧
shima 是嘛
haoba 好吧
xingma 行吗
keyima 可以吗
suanle 算了
biejieyi 别介意
meishi 没事
buyongle 不用了
buyaole 不要了
keyia 可以啊
xinga 行啊
haoa 好啊
duia 对啊
en 嗯
o 哦
ei 欸
jiushi 就是
najiushi 那就是
wojuede 我觉得
worenwei 我认为
nishuone 你说呢
nikanne 你看呢
nishuoduima 你说对吗
nitongyima 你同意吗
geini 给你
xiexieni 谢谢你
aiya 哎呀
woqu 我去
wokao 我靠
tianna 天哪
buxinga 不行啊
zenmele 怎么了
zenmeban 怎么办
ranhoune 然后呢
jieguone 结果呢
haiyouma 还有吗
hainengzheyang 还能这样
zhemelipu 这么离谱
nitailipule 你太离谱了
nizhenyouyisi 你真有意思
nizhenhao 你真好
nitaikeaile 你太可爱了
nihaolihai 你好厉害
nihaobang 你好棒
nizhencongming 你真聪明
nizhenyoucai 你真有才
kaixin 开心
yukuai 愉快
xingfu 幸福
tianmi 甜蜜
jidong 激动
qidai 期待
xihuan 喜欢
ai 爱
chenmi 沉迷
shuang 爽
jile 极了
chaoji 超级
youqu 有趣
kaopu 靠谱
geili 给力
niubi 牛逼
diao 吊
shuai 帅
mei 美
keai 可爱
shangxin 伤心
tongku 痛苦
fan 烦
men 闷
zao 躁
shengqi 生气
fahuo 发火
wuyu 无语
juewang 绝望
shiwang 失望
xinteng 心疼
lei 累
kun 困
e 饿
ke 渴
bingle 病了
bushufu 不舒服
bukaixin 不开心
xinqingbuhao 心情不好
xinqingyumen 心情郁闷
qisiwole 气死我了
leisile 累死了
kunsile 困死了
esile 饿死了
gaoxingsile 高兴死了
kaixinsile 开心死了
taishuangle 太爽了
taiguofenle 太过分了
taiwuyule 太无语了
ai 唉
ya 呀
wa 哇
ha 哈
he 呵
qie 切
ng 唔
le 啦
lou 喽
bei 呗
ma 嘛
yo 哟
yo 唷
aiyou 哎哟
wasai 哇塞
tiana 天啊
shangdia 上帝啊
aha 啊哈
hehe 呵呵
xixi 嘻嘻
hehe 嘿嘿
mua 木啊
muamua mua1
bibi 哔哔
qieqie 切切
deleba 得了吧
suanleba 算了吧
xingleba 行了吧
haoleba 好了吧
biejie 别介
biezheyang 别这样
bieshuole 别说了
liaotian 聊天
guanshui 灌水
shuaweibo 刷微博
shuadouyin 刷抖音
faweixin 发微信
dazi 打字
fayin 发语音
shipin 视频
dadianhua 打电话
yue 约
chuquwan 出去玩
jucan 聚餐
chifan 吃饭
hejiu 喝酒
kalaok 卡拉OK
changge 唱歌
kandianying 看电影
guangjie 逛街
maidongxi 买东西
dayouxi 打游戏
kaihei 开黑
shuaben 刷副本
paizhao 拍照
zipai 自拍
fapengyouquan 发朋友圈
dianzan 点赞
pinglun 评论
zhuanfa 转发
shoucang 收藏
fenxiang 分享
jubao 举报
lahei 拉黑
shanchu 删除
tianjiahaoyou 添加好友
saoyisao 扫一扫
yaoyiyao 摇一摇
fujinderen 附近的人
pipei 匹配
jianmian 见面
songbie 送别
jiefeng 接风
xichen 洗尘
juhui 聚会
lianyi 联谊
tuodan 脱单
xiuenai 秀恩爱
sagouliang 撒狗粮
beigouliang 被狗粮
cuicu 催促
fanggezi 放鸽子
shuangyue 爽约
chidao 迟到
zaotui 早退
jianghua 讲话
chenmo 沉默
jiekou 借口
jieshi 解释
pengtou 碰头
nidongde 你懂的
bujieshi 不解释
shangtu 上图
wutuwuzhenxiang 无图无真相
lipu 离谱
juele 绝了
youmeiyou 有没有
zenmepo 怎么破
wolegequ 我了个去
shenmagui 什么鬼
shenmacaozuo 什么操作
shenmaqingkuang 什么情况
dalao 大佬
dashen 大神
cainv 才女
xianmujiduhen 羡慕嫉妒恨
kubile 苦逼了
beijule 悲剧了
xijule 喜剧了
jiujiele 纠结了
wuyule 无语了
zuile 醉了
mengbile 懵逼了
diaozhatian 吊炸天
niubihonghong 牛逼哄哄
geilile 给力了
shangtoule 上头了
xiatoule 下头了
kengdie 坑爹
diaosi 屌丝
baifumei 白富美
gaofushuai 高富帅
renshengyingjia 人生赢家
shuyingjia 输赢家
shangyinle 上瘾了
mieyou 木有
biaoshi 表示
meishui 没睡
shuile 睡了
shale 杀了
qusi 去死
gundan 滚蛋
yuehui 约会
kanxi 看戏
kanzhan 看展
luying 露营
shaokao 烧烤
haibian 海边
pashan 爬山
huaxue 滑雪
huabing 滑冰
youyong 游泳
tiaoshui 跳水
chuifeng 吹风
kanrichu 看日出
kanriluo 看日落
shangshitang 上食堂
diancan 点餐
jiezhang 结账
aazhi AA制
maidan 买单
qingke 请客
zuodong 做东
pinchang 品尝
hecha 喝茶
hekafei 喝咖啡
dushu 读书
tanxin 谈心
shangke 上课
xiake 下课
fangxue 放学
xiaban 下班
shangban 上班
lvyou 旅游
zijiayou 自驾游
dache 打车
zuoche 坐车
maipiao 买票
jianpiao 检票
shangche 上车
xiache 下车
dengche 等车
cuoguo 错过
yanwu 延误
zhunshi 准时
tiqian 提前
yanqi 延期
quxiao 取消
gaiqi 改期
linshi 临时
meishiba 没事吧
yaojinma 要紧吗
xuyaobangmangma 需要帮忙吗
wolaibangni 我来帮你
nixianzuo 你先做
biezhaoji 别着急
manmanlai 慢慢来
zhuyianquan 注意安全
baozhongshenti 保重身体
zaodianshui 早点睡
duoheshui 多喝水
jiayou 加油
jianchi 坚持
xiangxinni 相信你
nikeyide 你可以的
biefangqi 别放弃
zhichini 支持你
yongyuanzainishenbian 永远在你身边
youwopeini 有我陪你
suishilianxi 随时联系
dadianhuageiwo 打电话给我
faxinxigeiwo 发信息给我
gaosuwo 告诉我
genwoshuo 跟我说
shuochulai 说出来
bierenzhe 别忍着
kuchulai 哭出来
fangsong 放松
lengjing 冷静
tiaozheng 调整
zhending 镇定
biehuang 别慌
meiwenti 没问题
yidingkeyi 一定可以
mingtianjian 明天见
yihuierjian 一会儿见
wanan 晚安
zaodianxiuxi 早点休息
zhunihaomeng 祝你好梦
zhunikaixin 祝你开心
zhunixingfu 祝你幸福
zhunijiankang 祝你健康
yilushunfeng 一路顺风
yilupingan 一路平安
baozhong 保重
houhuiyouqi 后会有期
youjian 有见
lianxi 联系
weixinlianxi 微信联系
dianhualianxi 电话联系
gaosuwonidaole 告诉我你到了
daolema 到了吗
anquandida 安全抵达
geinidaileliwu 给你带了礼物
qidaixiacijianmian 期待下次见面
xiangnianni 想念你
aini 爱你
memeda 么么哒
qinyixia 亲一下
baoyixia 抱一下
bobo 伯伯
shenshen 婶婶
jiujiu 舅舅
jiuma 舅妈
gugu 姑姑
guzhang 姑丈
laolao 姥姥
laoye 姥爷
sunzi 孙子
sunnv 孙女
waisheng 外甥
zhizi 侄子
zhinv 侄女
zhangfu 丈夫
qizi 妻子
qinqi 亲戚
jiaren 家人
jiating 家庭
zumu 祖母
zufu 祖父
muqin 母亲
fuqin 父亲
haizi 孩子
nixinglema 你醒了吗
shuidezenmeyang 睡得怎么样
elema 饿了吗
xiangchishenme 想吃什么
xiwanlema 洗完了吗
kuailaichifan 快来吃饭
fanzuohaole 饭做好了
manmanchi 慢慢吃
haochima 好吃吗
baolema 饱了吗
hedianshuiba 喝点水吧
jintianleima 今天累吗
shangbanxinkule 上班辛苦了
jialiyouwone 家里有我呢
bieleizhe 别累着
xiuxiyixia 休息一下
kandianshima 看电视吗
yongdiannaoma 用电脑吗
laibanggemang 来帮个忙
guolaizuoyixia 过来坐一下
yiqichifan 一起吃饭
kandianshi 看电视
wanyouxi 玩游戏
dujia 度假
maicai 买菜
zuofan 做饭
shaofan 烧饭
chaocai 炒菜
baojiaozi 包饺子
guoshengri 过生日
kaipaidui 开派对
damajiang 打麻将
dapuke 打扑克
xiaqi 下棋
jianggushi 讲故事
tingyinyue 听音乐
sanbu 散步
yundong 运动
duanlian 锻炼
zuojianshen 做健身
kanbaozhi 看报纸
shuashouji 刷手机
xidi 扫地
tuodi 拖地
cazhuozi 擦桌子
xiwan 洗碗
shuawan 刷碗
shoushi 收拾
zhengli 整理
diebeizi 叠被子
puchuang 铺床
xiyifu 洗衣服
liangyifu 晾衣服
shouyifu 收衣服
zheyifu 折衣服
yunyifu 熨衣服
caboli 擦玻璃
refan 热饭
daolaji 倒垃圾
cengxiezi 蹭鞋子
shuaxie 刷鞋
fuhuichen 拂灰尘
shiyishi 试一试
geihuajiaoshui 给花浇水
weichongwu 喂宠物
huanchuangdan 换床单
huanzhentao 换枕套
qingxi 清洗
jianzhi 剪纸
daihaizi 带孩子
songhaizishangxue 送孩子上学
jiehaizifangxue 接孩子放学
bannianhuo 办年货
xiche 洗车
zuozuoye 做作业
fudao 辅导
jiancha 检查
qianzi 签字
jiangti 讲题
fuxi 复习
yuxi 预习
beishu 背书
xiezi 写字
huahua 画画
tanqin 弹琴
lianzi 练字
shuoyingyu 说英语
kantupian 看图片
kaijiazhanghui 开家长会
jiaoyu 教育
piping 批评
biaoyang 表扬
guli 鼓励
jiangli 奖励
tixing 提醒
jianyi 建议
goutong 沟通
liaojie 了解
zhichi 支持
xinren 信任
bangzhu 帮助
fuchu 付出
xiwang 希望
zhuozi 桌子
diannao 电脑
shouji 手机
diandeng 电灯
luyinji 录音机
yinxiang 音响
guizi 柜子
shujia 书架
shuzhuo 书桌
fanwan 饭碗
guo 锅
panzi 盘子
yaoshi 钥匙
xiejia 鞋架
yusan 雨伞
shoutidai 手提袋
tuoba 拖把
saozhou 扫帚
boji 簸箕
jianzi 剪子
chouti 抽屉
xiangni 想你
xintengni 心疼你
guanxinni 关心你
peibanni 陪伴你
zhaoguni 照顾你
baobaoni 抱抱你
qinqinni 亲亲你
bielei 别累
zhuyishenti 注意身体
tianyifu 添衣服
shaoyanshaojiu 少烟少酒
kaixinyidian 开心一点
buyongdanxin 不用担心
youwozai 有我在
bupa 不怕
jiankang 健康
hemu 和睦
wennuan 温暖
gandong 感动
ganji 感激
ganen 感恩
xinwei 欣慰
jiaoao 骄傲
manyi 满意
xiyue 喜悦
tuanyuan 团圆
huanle 欢乐
fuqi 福气
jixiang 吉祥
ruyi 如意
pingan 平安
changshou 长寿
yongyuan 永远
qichuang 起床
xilian 洗脸
shuaya 刷牙
shutou 梳头
zhaojingzi 照镜子
chuanyifu 穿衣服
tuoyifu 脱衣服
shuijiao 睡觉
zuomeng 做梦
dahaqian 打哈欠
shenlanyao 伸懒腰
jinmen 进门
chumen 出门
shanglou 上楼
xialou 下楼
zuoxia 坐下
zhanqilai 站起来
nadongxi 拿东西
fangdongxi 放东西
zhaodongxi 找东西
yongwancan 用晚餐
kaimen 开门
guanmen 关门
kaichuang 开窗
guanchuang 关窗
kaideng 开灯
guandeng 关灯
kaidianshi 开电视
guandianshi 关电视
jiedianhua 接电话
faduanxin 发短信
shouduanxin 收短信
shangwang 上网
xiaxian 下线
tingge 听歌
kanshu 看书
hetang 喝汤
yaofan 舀饭
jiacai 夹菜
daoshui 倒水
xiguo 洗果
bopi 剥皮
qiecai 切菜
tiaowei 调味
zhufan 煮饭
zhengcai 蒸菜
jianyu 煎鱼
zhajitui 炸鸡腿
weigou 喂狗
huanmaosha 换猫砂
darao 打扰
bangmang 帮忙
denghou 等候
suibian 随便
wenrou 温柔
titie 体贴
kailang 开朗
youai 有爱
qinqie 亲切
xianghe 祥和
wending 稳定
leguan 乐观
anyi 安逸
fangbian 方便
ganjing 干净
zhengjie 整洁
youxu 有序
wenjian 稳健
nuli 努力
yonggan 勇敢
jianqiang 坚强
dafang 大方
kangkai 慷慨
zhencheng 真诚
shanliang 善良
meihao 美好
langman 浪漫
xinfu 幸福
kuaile 快乐
congming 聪明
yingjun 英俊
shuaiqi 帅气
xiqin 辛勤
buyi 不易
xinku 辛苦
luan 乱
za 杂
man 满
kong 空
zao 燥
ganzao 干燥
chaoshi 潮湿
tianqi 天气
qingtian 晴天
yutian 雨天
yintian 阴天
feng 风
yu 雨
xue 雪
wu 雾
zaochen 早晨
shangwu 上午
banye 半夜
lingchen 凌晨
zhoumo 周末
zhouri 周日
pingshi 平时
jieri 节日
chunjie 春节
yuanxiaojie 元宵节
duanwujie 端午节
zhongqiujie 中秋节
guonian 过年
jiehunjinianri 结婚纪念日
jihua 计划
bianhua 变化
mafan 麻烦
wenti 问题
jiejue 解决
jueding 决定
yijian 意见
ganjue 感觉
ganxiang 感想
xiangfa 想法
yiyuan 意愿
jiemu 节目
xiuxian 休闲
yequ 乐趣
xingqu 兴趣
aihao 爱好
shenghuo 生活
richang 日常
jiachang 家常
liwu 礼物
jiangpin 奖品
xingfugan 幸福感
guishugan 归属感
anquangan 安全感
tuanjie 团结
fengfu 丰富
duocai 多彩
youyi 有益
youyong 有用
zhongyao 重要
biyao 必要

# ========== 单字补充（拼音→单字，与现有词库合并、去重后补全字表） ==========
an 安
ba 爸
bai 白
ban 半
ban 办
bao 宝
bao 保
bao 报
bei 北
bi 比
bi 必
bian 边
bian 变
biao 表
bie 别
bin 宾
bing 冰
bing 并
bo 波
bo 伯
bu 布
cai 材
cai 采
cai 菜
can 餐
can 参
cang 藏
cao 操
ce 册
ce 侧
ceng 层
cha 查
chai 差
chan 产
chang 常
chang 场
chao 超
che 车
chen 晨
cheng 成
cheng 城
cheng 程
cheng 吃
chi 持
chong 充
chong 重
chou 抽
chu 初
chu 除
chu 楚
chu 处
chuan 穿
chuan 传
chuang 窗
chuang 创
chun 春
ci 此
cong 从
cun 存
da 打
dai 带
dai 代
dan 单
dan 但
dan 蛋
dang 当
dang 党
dao 到
dao 道
dao 倒
de 的
de 得
di 地
di 第
di 低
di 底
di 弟
dian 电
dian 店
dian 典
diao 调
diao 掉
ding 定
ding 顶
dong 东
dong 冬
dong 动
dou 斗
du 独
du 度
du 肚
duan 段
duan 断
dun 顿
e 额
en 恩
er 而
er 儿
fa 发
fa 法
fa 罚
fan 反
fan 饭
fan 范
fang 方
fang 房
fei 非
fei 飞
fei 费
fen 份
fen 粉
feng 封
feng 疯
fu 夫
fu 福
fu 父
fu 负
fu 附
fu 复
gai 改
gai 盖
gan 敢
gan 感
gang 刚
gang 钢
gao 告
ge 哥
ge 歌
ge 格
gen 跟
geng 更
gong 工
gong 公
gong 功
gong 共
gou 够
gu 古
gu 故
gu 顾
gua 挂
guai 怪
guan 观
guan 管
guang 光
guang 广
gui 规
guo 国
guo 果
hai 孩
hai 海
han 喊
han 汉
he 合
he 河
he 黑
hong 红
hou 后
hou 候
hu 胡
hu 湖
hu 护
hua 华
hua 话
huan 欢
huan 还
huan 换
huang 黄
hui 会
hui 惠
hun 婚
huo 活
huo 火
huo 或
ji 机
ji 积
ji 基
ji 及
ji 级
ji 极
ji 几
ji 己
ji 计
ji 记
ji 纪
ji 技
ji 系
ji 家
jia 加
jia 佳
jia 价
jian 间
jian 监
jian 检
jian 简
jian 见
jian 件
jian 建
jiang 江
jiang 将
jiang 讲
jiang 奖
jiao 交
jiao 教
jiao 脚
jiao 叫
jiao 觉
jie 接
jie 街
jie 节
jie 结
jie 解
jie 姐
jie 介
jie 界
jin 今
jin 金
jin 紧
jin 近
jing 京
jing 经
jing 睛
jing 景
jing 静
jiu 究
jiu 久
jiu 酒
ju 居
ju 局
ju 举
ju 句
ju 具
juan 卷
jue 决
jue 绝
jun 军
kai 凯
kan 刊
kang 康
kao 考
kao 靠
ke 科
ke 棵
ke 可
ke 克
ke 刻
ke 客
ken 肯
kong 孔
kong 控
kou 口
kou 扣
ku 哭
ku 库
kuan 款
kuang 况
kuo 扩
la 拉
la 啦
lan 蓝
lan 兰
lan 览
lang 浪
lao 老
lao 劳
lei 类
li 离
li 里
li 理
li 力
li 历
li 立
li 利
li 例
lian 连
lian 联
lian 脸
liang 两
liang 量
liang 亮
liao 聊
liao 了
lie 列
lin 林
ling 灵
ling 领
ling 另
liu 流
long 龙
lou 楼
lu 录
lv 旅
lu 绿
lun 论
luo 罗
ma 妈
ma 麻
mao 毛
mao 帽
mao 冒
me 么
mei 没
mei 每
mei 妹
men 门
men 们
meng 梦
mi 米
mi 密
mian 面
mian 棉
min 民
ming 名
ming 明
mo 摸
mo 模
mo 末
mo 莫
mu 母
mu 木
mu 目
na 哪
na 那
nai 奶
nan 男
nao 脑
nei 内
neng 能
ni 你
ni 呢
nian 念
niang 娘
nin 您
ning 宁
nong 农
nong 弄
nv 女
nu 女
ou 欧
pa 爬
pa 怕
pai 拍
pai 牌
pai 派
pan 盘
pang 旁
pei 陪
pei 配
peng 朋
peng 碰
pi 皮
pi 批
