alabojiao 阿拉伯胶
benjiasuanbianzhi 苯甲酸苄酯
benjiasuanna 苯甲酸钠
benyichun 苯乙醇
benyiquan 苯乙醛
benyisuan 苯乙酸
benyisuanjiazhi 苯乙酸甲酯
bibotianji 碧波田鸡
bifengtangjinsuanchaoxie 避风塘金蒜炒蟹
bifengtangyujia 避风塘芋夹
bihaiyinsha 碧海银沙
bile 必乐
bilishipijiu 比利时啤酒
biluochun 碧螺春
bilvxiaren 碧绿虾仁
bimuyu 比目鱼
biqiluobozhou 荸荠萝卜粥
biqishanzhazhou 荸荠山楂粥
bisa 比萨
biandouyimidunjijiao 扁豆薏米炖鸡脚
bianfubao 蝙蝠包
bianfulianou 蝙蝠莲藕
bianjialarousiguantou 边家辣肉丝罐头
bianxianshuijiao 煸馅水饺
bingansuan 丙氨酸
bingcusuan 冰醋酸
bingdongniuyoudangao 冰冻牛油蛋糕
bingerchun 丙二醇
bingerchunzhifangsuanzhi 丙二醇脂肪酸酯
bingfen 冰粉
binghuashiganquan 冰花士干圈
binghuaxuelian 冰花雪莲
bingjiling 冰激凌
bingjilingdangao 冰激凌蛋糕
bingjiegoudanbai 冰结构蛋白
bingkabuqinuo 冰卡布奇诺
binglangzi 槟榔子
bingliaohua 冰蓼花
bingnatie 冰拿铁
bingnatiekafei 冰拿铁咖啡
bingpidangao 冰皮蛋糕
bingpiyanshuiji 冰皮盐水鸡
bingpiyuebing 冰皮月饼
bingpiantang 冰片糖
bingqilindangao 冰淇淋蛋糕
bingqilinkekejuan 冰淇淋可可卷
bingsha 冰沙
bingsuanbianzhi 丙酸苄酯
bingsuangai 丙酸钙
bingsuanna 丙酸钠
bingsuanyizhi 丙酸乙酯
bingtangbaiguobing 冰糖百果饼
bingtanghashima 冰糖哈士蟆
bingtanghulu 冰糖葫芦
bingtanglianzi 冰糖莲子
bingtangmaque 冰糖麻雀
bingtangrugeyanwogeng 冰糖乳鸽燕窝羹
bingtangxianglian 冰糖湘莲
bingtangyanwo 冰糖燕窝
bingtangyinergeng 冰糖银耳羹
bingtangzhengjidan 冰糖蒸鸡胆
bingxianshenguoximilao 冰鲜什果西米捞
bingzhenfanqiezhi 冰镇番茄汁
bingzhenhuluobozhi 冰镇胡萝卜汁
bingzhenlusunzhi 冰镇芦笋汁
bingzhilian 冰之恋
boboji 钵钵鸡
bobotang 波波糖
bocaidazaozhou 菠菜大枣粥
bocaidanrong 菠菜蛋蓉
bocaijibao 菠菜鸡煲
bocaijidantang 菠菜鸡蛋汤
bocaijianbing 菠菜煎饼
bocaijingoudoufutang 菠菜金钩豆腐汤
bocaiwanzitang 菠菜丸子汤
bocaiyagantang 菠菜鸭肝汤
bodinghan 伯丁罕
bodun 伯顿
bohebingtang 薄荷饼糖
bohegao 薄荷糕
boheshucaishala 薄荷蔬菜沙拉
boheshuimigao 薄荷水蜜糕
bohesuyou 薄荷素油
bohexunyicaocha 薄荷薰衣草茶
boheye 薄荷叶
boheyesongxiang 薄荷叶松香
bojiaoyouyufang 菠饺鱿鱼方
bojiaoyudu 菠饺鱼肚
bojinguangjianxiwangsuanlaxiang 薄筋光煎稀汪酸辣香
bojuecha 伯爵茶
bolaichengbao 波莱城堡
bolangningkuai 勃郎宁块
bolidangao 玻璃蛋糕
bolimingxia 玻璃明虾
bolisuji 玻璃酥鸡
bolixianmo 玻璃鲜墨
boliyouyu 玻璃鱿鱼
boluobao 菠萝包
boluoguantou 菠萝罐头
boluoguiyu 菠萝鳜鱼
boluojiding 菠萝鸡丁
boluolongyanyu 菠萝龙眼鱼
boluomi 菠萝蜜
boluosanwenyu 菠萝三文鱼
boluoyuanpian 菠萝圆片
bopu 博普
boshidunpai 波士顿派
boyucha 薄玉茶
bubaohezhifangsuandanganzhi 不饱和脂肪酸单甘脂
budingdangao 布丁蛋糕
bugubinggan 补骨饼干
bulizhishi 布里芝士
burongxingjuyixijubiluowantong 不溶性聚乙烯聚吡咯烷酮
bushenyanggancha 补肾养肝茶
buxuesutang 补血酥糖
buxueyangrouwufatang 补血羊肉乌发汤
buxueyangshengcha 补血养生茶
caidaiyutou 彩带鱼头
caidoufujiejie 菜豆腐节节
caidoufuxifan 菜豆腐稀饭
caidouhua 菜豆花
caigankourou 菜干扣肉
caiganyashenmizaotang 菜干鸭肾蜜枣汤
caihe 菜合
caihongbingkafei 彩虹冰咖啡
caihongshuijingqiu 彩虹水晶球
caijiaochaoxiangchang 彩椒炒香肠
caimang 菜蟒
caiserousi 彩色肉丝
caishi 蔡氏
caishuhuijiyoufan 彩蔬烩鸡油饭
caixinchaozhugan 菜心炒猪肝
caixinshaorouyugan 菜心烧肉鱼干
caiyuanniurou 菜远牛肉
caiziyou 菜籽油
canbao 餐包
candouchaoxiaren 蚕豆炒虾仁
candoufen 蚕豆粉
candouguantou 蚕豆罐头
canguodunshourou 参果炖瘦肉
canhuacha 参花茶
canlingfenbinggan 参苓粉饼干
canmaituanyu 参麦团鱼
canmaixuelishouroutang 参麦雪梨瘦肉汤
canyongguantou 蚕蛹罐头
canzhengshanduan 参蒸鳝段
cangbao 藏宝
canghuabing 藏花饼
canghuasu 藏花素
cangnanhong 藏男红
cangxinyuyuan 藏心鱼圆
caogu 草菇
caogushaosun 草菇烧笋
caomeidawa 草莓达瓦
caomeiguoni 草莓果泥
caomeijiaxinmianbao 草莓夹心面包
caomeijiang 草莓酱
caomeilongshelan 草莓龙舌兰
caomeilvdouzhou 草莓绿豆粥
caomeimosi 草莓摩司
caomeimusi 草莓慕斯
caomeinaiyoudangao 草莓奶油蛋糕
caomeishuiguota 草莓水果塔
caomeixiaodianxin 草莓小点心
caomeiyoulaoru 草莓优酪乳
caomeizhishidangao 草莓芝士蛋糕
caoxiangyuan 草香园
caozigao 槽子糕
chabiluo 茶吡咯
chabing 茶饼
chaduofen 茶多酚
chahuangsesu 茶黄色素
chakaoguiyu 叉烤鳜鱼
chalvsesu 茶绿色素
chashaochaomian 叉烧炒面
chashaoganlujuandangao 叉烧甘露卷蛋糕
chashaoji 叉烧鸡
chashaosu 叉烧酥
chashaoxiangsu 叉烧香酥
chashaoya 叉烧鸭
chashaoyazi 叉烧鸭子
chashaoyu 叉烧鱼
chashaozhurou 叉烧猪肉
chashidaoqie 茶食刀切
chatang 茶汤
chaxianggu 茶香骨
chaxiangmalagao 茶香马拉糕
chaxunbazhuayu 茶熏八爪鱼
chayejiyutang 茶叶鲫鱼汤
chayexunji 茶叶熏鸡
chayezhou 茶叶粥
chaibayu 柴把鱼
chaidongjiyu 拆冻鲫鱼
chaihuidayutou 拆烩大鱼头
chaihuilianyutou 拆烩鲢鱼头
chanchushuishezhou 蟾蜍水蛇粥
changanshijiu 长安柿酒
changdaohaixianguantou 长岛海鲜罐头
changdeyinpiangao 常德银片糕
changebenyuebing 嫦娥奔月饼
changhuajixueshi 昌化鸡血石
changhuashanhetao 昌化山核桃
changjiangyuebing 长江月饼
changqifengmidangao 长崎蜂蜜蛋糕
changshoubaocui 长寿薄脆
changshougao 长寿糕
changshunganhuo 昌顺干货
changwuguokui 长武锅盔
changyuangao 长圆糕
changzhishanzhabing 长治山楂饼
changzhoudamagao 常州大麻糕
chaobaige 炒白鸽
chaobaixia 炒白虾
chaobaozi 朝包子
chaobitaoliji 炒碧桃里脊
chaochaoyaohua 焯炒腰花
chaocongjiaoji 炒葱椒鸡
chaodamingxia 炒大明虾
chaodoufunao 炒豆腐脑
chaodoufusong 炒豆腐松
chaoerdong 炒二冬
chaoerkuai 炒饵块
chaoersi 炒饵丝
chaofanqiejipian 炒番茄鸡片
chaofengweixiapai 炒凤尾虾排
chaofurongxie 炒芙蓉蟹
chaoganjianer 炒肝尖儿
chaoganpian 炒肝片
chaogao 潮糕
chaogeda 炒疙瘩
chaoguihuachi 炒桂花翅
chaohaizhe 炒海蜇
chaohehuaque 炒禾花雀
chaohuluobojiang 炒胡萝卜酱
chaohuangguajiang 炒黄瓜酱
chaojimi 炒鸡米
chaojishijian 炒鸡什件
chaojisi 炒鸡丝
chaojiangdou 炒豇豆
chaojiucaiqingxia 炒韭菜青虾
chaolijisi 炒里脊丝
chaoliangfen 炒凉粉
chaoluobo 炒萝卜
chaomaisuihuayou 炒麦穗花鱿
chaomi 炒米
chaomifen 炒米粉
chaomixian 炒米线
chaomian 炒面
chaomianxian 炒面线
chaomianyangsi 炒绵羊丝
chaomianyu 炒面鱼
chaoqiesi 炒茄丝
chaoroupianer 炒肉片儿
chaorousi 炒肉丝
chaoshanmeizi 超山梅子
chaoshanyaoni 炒山药泥
chaoshilaopobing 潮式老婆饼
chaosibao 炒四宝
chaosigua 炒丝瓜
chaosuyaohua 炒素腰花
chaotijiner 炒蹄筋儿
chaotianguo 朝天锅
chaowandou 炒豌豆
chaowandoujia 炒豌豆夹
chaowandoujiang 炒豌豆酱
chaoxilanhua 炒西兰花
chaoxishishe 炒西施舌
chaoxiasi 炒虾丝
chaoxianjiyazhizhuxinshucaiguantou 朝鲜蓟亚之竹心蔬菜罐头
chaoxianwosun 炒鲜莴笋
chaoxierou 炒蟹肉
chaoyachang 炒鸭肠
chaoyangdusi 炒羊肚丝
chaoyaonao 炒腰脑
chaoyi 超益
chaoyumi 炒玉米
chaozhenzijiang 炒榛子酱
chaozhouroudong 潮州肉冻
chaozhoushaoyane 潮州烧雁鹅
chelizi 车厘子
chelunsubing 车轮酥饼
chemian 扯面
chemian 扯麺
cheqiancaocha 车前草茶
cheqiancaozhezhizhou 车前草蔗汁粥
cheqianzicha 车前子茶
cheqianzihongzaotianluotang 车前子红枣田螺汤
cheqianziyoumenxia 车前子油焖虾
chencumenxiandan 陈醋焖咸蛋
chenpibaohexia 陈皮爆河虾
chenpicheqianjianfeicha 陈皮车前减肥茶
chenpihongzaocha 陈皮红枣茶
chenpiniurou 陈皮牛肉
chenshandangao 衬衫蛋糕
chengdemingshengdangao 承德名胜蛋糕
chengdudantang 成都蛋汤
chengdupaojiaomoyuzai 成都泡椒墨鱼仔
chengduziji 成都子鸡
chenghuapaigu 橙花排骨
chenghuangmiaowuxiangdou 城隍庙五香豆
chengjiuzhi 橙酒汁
chengliuqi 蛏溜奇
chengweihegansuanerna 呈味核苷酸二钠
chengweihetaodangao 橙味核桃蛋糕
chidoubupizhou 赤豆补脾粥
chidouhuashengdunliyu 赤豆花生炖鲤鱼
chijiaochaoniurou 豉椒炒牛肉
chijiaochaoyugan 豉椒炒鱼干
chijiaodaizidoufu 豉椒带子豆腐
chijiaomoyuqiu 豉椒墨鱼球
chijiaozhenglarou 豉椒蒸腊肉
chilinyu 赤鳞鱼
chitanglianhua 池塘莲花
chixianhong 赤藓红
chixianhonglvsedian 赤藓红铝色淀
chixiantangchun 赤藓糖醇
chizaotangchun 赤藻糖醇
chizhiliangguawenxie 豉汁凉瓜炆蟹
chizhipanlongshan 豉汁蟠龙鳝
chizhiyuyun 豉汁鱼云
chongcaoanchun 虫草鹌鹑
chongcaobaguatang 虫草八卦汤
chongcaoduzhongdunhaixia 虫草杜仲炖海虾
chongcaodunji 虫草炖鸡
chongcaojinqianguijing 虫草金钱龟精
chongcaoqiguoji 虫草汽锅鸡
chongcaoquanya 虫草全鸭
chongcaoyashe 虫草鸭舌
chongcha 虫茶
chongjiao 虫胶
chongjiaohong 虫胶红
chongqingtangyipaodan 重庆糖衣炮弹
chongqingzhimapian 重庆芝麻片
chongyanggao 重阳糕
chongyanghuagao 重阳花糕
chouguiyu 臭鳜鱼
chucijianmian 初次见面
chukoumati 出口马蹄
chuanbeidunli 川贝炖梨
chuanbeidunzhegu 川贝炖鹧鸪
chuanbeimuhaizheshouroutang 川贝母海蜇瘦肉汤
chuanbeiniangli 川贝酿梨
chuanbeiningmengli 川贝柠檬李
chuanbeixuelizhufeitang 川贝雪梨猪肺汤
chuancaihuiguorou 川菜回锅肉
chuanchuanxiang 串串香
chuandongcaichaoxiancandou 川冬菜炒鲜蚕豆
chuanduan 川断
chuanhongcha 川红茶
chuanjianhuntun 串煎馄饨
chuanjiaolongfengqiu 川椒龙凤球
chuanlahuanggua 川辣黄瓜
chuanshaohaixian 串烧海鲜
chuanshiyifang 传世彝方
chuanweidoujuan 川味豆卷
chuanweijiaozi 川味饺子
chuanweiniurou 川味牛肉
chuanweinuomifan 川味糯米饭
chuanweishuizhuroupian 川味水煮肉片
chuanxiroudoufu 川西肉豆腐
chuanxiongcha 川芎茶
chuanyutouhuoguo 川鱼头火锅
chuangyisuannaishuiguoshala 创意酸奶水果沙拉
chuihuijipian 捶烩鸡片
chuiji 捶鸡
chuilianhuaji 炊莲花鸡
chuimifurou 炊米麸肉
chuiqilinyu 炊麒麟鱼
chuishiliuji 炊石榴鸡
chunanmihoutao 淳安猕猴桃
chunbing 春饼
chuncai 莼菜
chuncaihuangyugeng 莼菜黄鱼羹
chuncantusi 春蚕吐丝
chunfengjianfeicha 春风减肥茶
chunjingshui 纯净水
chunjuan 春卷
chunrui 春蕊
chunsunbaibanji 春笋白拌鸡
chunsunchaobuyu 春笋炒步鱼
chunsunwandou 春笋豌豆
chunyamendan 椿芽焖蛋
cilijiaxinbinggan 刺梨夹心饼干
cilingjiao 刺菱角
cimeigui 刺玫瑰
ciweibao 刺猬包
ciyunshijiao 刺云实胶
congbaijidantang 葱白鸡蛋汤
congbaogui 葱包桧
congbaorousi 葱爆肉丝
congbaoturou 葱爆兔肉
congbaoyangrou 葱爆羊肉
congbaoyangrouding 葱爆羊肉丁
congbing 葱饼
congchidoufutang 葱豉豆腐汤
congduanhaican 葱段海参
congdunzhuti 葱炖猪蹄
conghuachaodan 葱花炒蛋
conghuaganglu 葱花缸炉
conglayu 葱辣鱼
conglayupu 葱辣鱼脯
conglayutiao 葱辣鱼条
congmingyinxingcha 聪明银杏茶
congrongyangrougeng 苁蓉羊肉羹
congshaohaishen 葱烧海参
congyoubing 葱油饼
congyoudangao 葱油蛋糕
congyoufamianbing 葱油发面饼
congyouhetaoyujuan 葱油核桃鱼卷
congyouhuangyu 葱油黄鱼
congyouji 葱油鸡
congyoukugua 葱油苦瓜
congyousu 葱油酥
congyoutaosu 葱油桃酥
congyouzhengya 葱油蒸鸭
cubanlianou 醋拌莲藕
cuhuagao 粗花糕
cujiaoguiyu 醋椒桂鱼
cujiaohuoyu 醋椒活鱼
culabaicaigeng 醋辣白菜梗
culiubaicai 醋溜白菜
culiuguiyu 醋熘鳜鱼
culiuhuanggua 醋溜黄瓜
culiuoupian 醋溜藕片
cusu 醋粟
cuigualijisi 脆瓜里脊丝
cuihengcun 翠亨邨
cuilvyumi 翠绿玉米
cuimiguo 脆蜜馃
cuipichang 脆皮肠
cuipidachang 脆皮大肠
cuipiguiyu 脆皮桂鱼
cuipiguokui 脆皮锅魁
cuipiji 脆皮鸡
cuipijuan 脆皮卷
cuipimatigao 脆皮马蹄糕
cuipimochapaofu 脆皮抹茶泡芙
cuipiruge 脆皮乳鸽
cuipixianguoqiu 脆皮鲜果球
cuipixiannai 脆皮鲜奶
cuipiyuxiangniurou 脆皮鱼香牛肉
cuipiyuanyanggao 脆皮鸳鸯糕
cuipizhaji 脆皮炸鸡
cuipizhaxiannai 脆皮炸鲜奶
cuipingyinzhencha 翠坪银针茶
cuisongtang 脆松糖
cuixiangyangmi 脆香羊米
cuiyudougao 翠玉豆糕
cuiyunshuizhuyu 翠云水煮鱼
cuizhahuolongguo 脆炸火龙果
cuizhawangyoujuan 脆炸网油卷
cuizhufenzhenghuiyu 翠竹粉蒸鮰鱼
cuizhufenzhengyu 翠竹粉蒸鱼
cunjin 寸金
dabaicaishuijiao 大白菜水饺
dabianlu 大边炉
dadansan 大蛋散
dadonghanwuquanpai 大东寒武泉牌
dadoulinzhi 大豆磷脂
dafa 打发
dafanggao 大方糕
dafobailongjing 大佛白龙井
dafuhao 大富豪
dahongpao 大红袍
dahongzaolu 大红枣露
dahuadangao 大花蛋糕
dahuasubing 大华酥饼
dahuangxiaozhilvdoutang 大黄消脂绿豆汤
dahuixiangquan 大茴香醛
dajiujia 大救驾
dalaohu 打老虎
dalidaibazhouzi 大荔带把肘子
dalishaguoyu 大理砂锅鱼
dalishidangao 大理石蛋糕
dalishizhishidangao 大理石芝士蛋糕
dalishizhishitiao 大理石芝士条
dalixuecha 大理雪茶
dalixueli 大理雪梨
damaqiu 大麻球
damaichayinliao 大麦茶饮料
damidangao 大米蛋糕
damianbai 大面白
dapandu 大盘肚
dapanji 大盘鸡
dapu 大朴
daqianziji 大千子鸡
darou 大肉
dashanhepai 大山合牌
dashanpai 大山牌
dashisijizai 大石四季仔
dashuboluo 大树菠萝
dasuanganbei 大蒜干贝
dasuannianyu 大蒜鲇鱼
dasuannianyu 大蒜鲶鱼
datibahaishen 大蹄扒海参
datuanyuan 大团圆
daxuezao 大雪枣
dayekucha 大叶苦茶
dayewulong 大叶乌龙
dayezao 大叶枣
dayoushuilvdougao 大有水绿豆糕
dayutoudoufutang 大鱼头豆腐汤
dazaobaihetang 大枣百合汤
dazaodonggutang 大枣冬菇汤
dazaojiangtang 大枣姜汤
daihuangxing 代黄杏
daixibaiyangsu 岱西白洋酥
daixiheiyangsu 岱西黑洋酥
daixishuiputao 岱西水葡萄
daixixiangguazi 岱西香瓜子
daiyuguantou 带鱼罐头
daizishangchao 带子上朝
danbaiguozhiyinliao 蛋白果汁饮料
danbaihunheyinliao 蛋白混合饮料
danbaiyuandangao 蛋白圆蛋糕
dancaidunmaque 淡菜炖麻雀
dancaizicaishouroutang 淡菜紫菜瘦肉汤
dandanmian 担担面
dangaihuachun 胆钙化醇
danhonggao 蛋烘糕
danhuangbinggan 蛋黄饼干
danhuangfengweibaiyujuan 蛋黄凤尾白玉卷
danhuangganlusu 蛋黄甘露酥
danhuangguo 蛋黄果
danhuangguokui 蛋黄锅盔
danhuangjiang 蛋黄酱
danhuangjuan 蛋黄卷
danhuanglijijuan 蛋黄里脊卷
danhuanglianrongyuebing 蛋黄莲蓉月饼
danhuangmahua 蛋黄麻花
danhuangmianbao 蛋黄面包
danhuangpai 蛋黄派
danhuangqiancenggao 蛋黄千层糕
danhuangsu 蛋黄酥
danhuangtudoubing 蛋黄土豆饼
danjuan 蛋卷
danjuanbinggan 蛋卷饼干
danmaisu 丹麦酥
dannaiguozibing 蛋奶果子饼
dannaisu 蛋奶酥
dannaiyou 淡奶油
dannaiyoubeihaidaotusi 淡奶油北海道土司
dannaiyouzhimacanbao 淡奶油芝麻餐包
danshenhuangdoutang 丹参黄豆汤
dansibing 蛋丝饼
dansongguo 蛋松果
dansuhuaren 蛋酥花仁
dansutudoupian 蛋酥土豆片
danxinshengnvguo 蛋心圣女果
danxinsuanganyouzhi 单辛酸甘油酯
danxingqiaokeli 蛋形巧克力
danyingzhisuanganyouzhi 单硬脂酸甘油酯
