guanguanjujiu 关关雎鸠
zhuangxinbuyi 壮心不已
qiufengqixibaiyunfei 秋风起兮白云飞
caomuhuangluoxiyannangui 草木黄落兮雁南归
shuyujingerfengbuzhi 树欲静而风不止
ziyuyangerqinbudai 子欲养而亲不待
jundangzuopanshi 君当作磐石
qiedangzuopuwei 妾当作蒲苇
puweirenrusi 蒲苇纫如丝
panshiwuzhuaiyi 磐石无转移
caijudonglixia 采菊东篱下
youranjiannanshan 悠然见南山
shaowushisuyun 少无适俗韵
xingbenaiqiushan 性本爱丘山
shengnianbuzhonglai 盛年不重来
yirinanzaichen 一日难再晨
jishidangmianli 及时当勉励
suiyuebudairen 岁月不待人
benshitonggensheng 本是同根生
xiangjianhetaiji 相煎何太急
chenbenbuyi 臣本布衣
gonggengyunanyang 躬耕于南阳
gouquanxingmingyuluanshi 苟全性命于乱世
buqiuwendayuzhuhou 不求闻达于诸侯
tiancangcang 天苍苍
yemangmang 野茫茫
fengchuicaodijianniuyang 风吹草低见牛羊
jiangnanwusuoyou 江南无所有
liaozengyizhichun 聊赠一枝春
ruwoxiangsimen 入我相思门
zhiwoxiangsiku 知我相思苦
weilougaobaichi 危楼高百尺
shoukezhaixingchen 手可摘星辰
huajianyihujiu 花间一壶酒
duzhuowuxiangqin 独酌无相亲
xiangkanbuyan 相看两不厌
zhiyoujingtingshan 只有敬亭山
xiaoshibushiyue 小时不识月
huzuobaiyupan 呼作白玉盘
changfengpolanghuiyoushi 长风破浪会有时
zhiguayunfanjicanghai 直挂云帆济沧海
choudaoduanshuishuigengliu 抽刀断水水更流
jubeixiaochouchougengchou 举杯销愁愁更愁
yunxiangyichanghuaxiangrong 云想衣裳花想容
chunfengfujianluhuanong 春风拂槛露华浓
yangtiandaxiaochumenqu 仰天大笑出门去
wobeiqishipenghaoren 我辈岂是蓬蒿人
jinrenbujiangushiyue 今人不见古时月
jinyuezengjingzhaoguren 今月曾经照古人
gurenxicihuanghelou 故人西辞黄鹤楼
yanhuasanyuexiayangzhou 烟花三月下扬州
tianshengwocaibiyouyong 天生我材必有用
qianjinsanjinfuhailai 千金散尽还复来
taohuatanshuishenqianchi 桃花潭水深千尺
bujiwanglunsongwoqing 不及汪伦送我情
xingdaoshuiqiongchu 行到水穷处
zuokanyunqishi 坐看云起时
kongshanxinyuhou 空山新雨后
tianqiwanlaiqiu 天气晚来秋
renxianguihualuo 人闲桂花落
yejingchunshankong 夜静春山空
junziguxianglai 君自故乡来
yingzhiguxiangshi 应知故乡事
kongshanbujianren 空山不见人
danwenrenyuxiang 但闻人语响
damoguyanzhi 大漠孤烟直
changheluoriyuan 长河落日圆
yuankanshanyouse 远看山有色
jintingshuiwusheng 近听水无声
mingyuesongjianzhao 明月松间照
qingquanshishangliu 清泉石上流
yuanjunduocaixie 愿君多采撷
ciwuzuixiangsi 此物最相思
chuncaomingnianlv 春草明年绿
wangsunguibugui 王孙归不归
haoyuzhishijie 好雨知时节
dangchunnaifasheng 当春乃发生
huidanglingjueding 会当凌绝顶
yilanzhongshanxiao 一览众山小
dushupowanjuan 读书破万卷
xiabiruyoushen 下笔如有神
lucongjinyebai 露从今夜白
yueshiguxiangming 月是故乡明
bairifanggexuzongjiu 白日放歌须纵酒
qingchunzuobanhaohuanxiang 青春作伴好还乡
wubianluomuxiaoxiaoxia 无边落木萧萧下
bujinchangjianggungunlai 不尽长江滚滚来
chushiweijieshenxiansi 出师未捷身先死
changshiyingxiongleimanjin 长使英雄泪满襟
lianggehuanglimingcuiliu 两个黄鹂鸣翠柳
yixingbailushangqingtian 一行白鹭上青天
chuanghanxilingqianqiuxue 窗含西岭千秋雪
menbodongwuwanlichuan 门泊东吴万里船
fuguibicongqinkude 富贵必从勤苦得
nanerxuduwucheshu 男儿须读五车书
zhengshijiangnanhaofengjing 正是江南好风景
luohuashijieyoufengjun 落花时节又逢君
ciquzhiyingtianshangyou 此曲只应天上有
renjiannengdejihuiwen 人间能得几回闻
wanlaitianyuxue 晚来天欲雪
nengyinyibeiwu 能饮一杯无
liliyuanshangcao 离离原上草
yisuiyikurong 一岁一枯荣
junmaiquanxianixiaogu 君埋泉下泥销骨
wojirenjianxuemantou 我寄人间雪满头
tongshitianyalunluoren 同是天涯沦落人
xiangfenghebizengshishi 相逢何必曾相识
renjiansiyuefangfeijin 人间四月芳菲尽
shansitaohuashishengkai 山寺桃花始盛开
tianchangdijiuyoushijin 天长地久有时尽
cihenmianmianwujueqi 此恨绵绵无绝期
linggongtaolimantianxia 令公桃李满天下
heyongtangqiangengzhonghua 何用堂前更种花
xiyangwuxianhao 夕阳无限好
zhishijinhuanghun 只是近黄昏
changeyinghuitoulingyao 嫦娥应悔偷灵药
bihaiqingtianyeyexin 碧海青天夜夜心
ciqingkedaichengzhuiyi 此情可待成追忆
zhishidangshiyiwangran 只是当时已惘然
junwenguiqiweiyouqi 君问归期未有期
bashanyeyuzhangqiuchi 巴山夜雨涨秋池
shenwucaifengshuangfeiyi 身无彩凤双飞翼
xinyoulingxiyidiantong 心有灵犀一点通
zuoyexifengdiaobishu 昨夜西风凋碧树
dushanggaolou 独上高楼
wangjintianyalu 望尽天涯路
yidaijiankuanzhongbuhui 衣带渐宽终不悔
weiyixiaoderenqiaocui 为伊消得人憔悴
zhonglixuntaqianbaidu 众里寻他千百度
moranhuishou 蓦然回首
narenquezaidenghuolanshanchu 那人却在灯火阑珊处
shangbilou 上碧楼
tianyafangcao 天涯芳草
wangshizhiduoshao 往事知多少
wenjunnengyoujiduochou 问君能有几多愁
qiasiyijiangchunshuixiangdongliu 恰似一江春水向东流
jianbuduan 剪不断
lihuanluan 理还乱
shilichou 是离愁
bieshiyibanziweizaixintou 别是一般滋味在心头
wuyandushangxilou 无言独上西楼
yuerugou 月如钩
liulangmeijiaochunyinao 柳郎梅娇春意闹
hongxingzhitouchunyinao 红杏枝头春意闹
yunpoyuelaihuanongying 云破月来花弄影
shashangbingqinchishangming 沙上并禽池上暝
wukenaihehualuoqu 无可奈何花落去
sizengxiangshiyanguilai 似曾相识燕归来
chunjiangchaoshuilianhaiping 春江潮水连海平
haishangmingyuegongchaosheng 海上明月共潮生
renshengdaidaiwuqiongyi 人生代代无穷已
jiangyueniannianwangxiangsi 江月年年望相似
qianlihuangyunbairixun 千里黄云白日曛
beifengchuiyanxuefenfen 北风吹雁雪纷纷
mochouqianluwuzhiji 莫愁前路无知己
tianxiashuirenbushijun 天下谁人不识君
yanguoye 雁过也
zhengshangxin 正伤心
queshijiushixiangshi 却是旧时相识
mandihuanghuaduiji 满地黄花堆积
qiaocuisun 憔悴损
rujinyoushuikanzhai 如今有谁堪摘
wutonggengjianxiyu 梧桐更兼细雨
daohuanghun 到黄昏
diandiandidi 点点滴滴
zhecidi 这次第
zenyigechouziliaode 怎一个愁字了得
kutenglaoshuhunya 枯藤老树昏鸦
xiaoqiaoliushuirenjia 小桥流水人家
gudaoxifengshouma 古道西风瘦马
xiyangxixia 夕阳西下
duanchangrenzaitianya 断肠人在天涯
xingchuipingyekuo 星垂平野阔
yueyongdajiangliu 月涌大江流
chuangqianmingyueguang 床前明月光
yishidishangshuang 疑是地上霜
jutouwangmingyue 举头望明月
ditousiguxiang 低头思故乡
qianshanniaofeijue 千山鸟飞绝
wanjingrenzongmie 万径人踪灭
guzhousuoliweng 孤舟蓑笠翁
dudiaohanjiangxue 独钓寒江雪
shengdangzuorenjie 生当作人杰
siyiweiguixiong 死亦为鬼雄
zhijinsixiangyu 至今思项羽
bukenguojiangdong 不肯过江东
nufachongguan 怒发冲冠
pinglanchu 凭栏处
xiaoxiaoyuxie 潇潇雨歇
taiwangyan 抬望眼
yangtianchangxiao 仰天长啸
zhuanghuaijilie 壮怀激烈
sanshigongmingchenyutu 三十功名尘与土
baqianliluyunheyue 八千里路云和月
modengxian 莫等闲
baileshaoniantou 白了少年头
kongbeiqie 空悲切
jingkangchi 靖康耻
youweixue 犹未雪
chenzihen 臣子恨
heshimie 何时灭
jiachangche 驾长车
tapohelanshanque 踏破贺兰山缺
zhuangzhijicanhulurou 壮志饥餐胡虏肉
xiaotankeyinxiongnuxue 笑谈渴饮匈奴血
daicongtou 待从头
shoushijiushanhe 收拾旧山河
chaotianque 朝天阙
siquyuanzhiwanshikong 死去原知万事空
danbeibujianjiuzhoutong 但悲不见九州同
wangshibeidingzhongyuanri 王师北定中原日
jiajiwuwanggaonaiweng 家祭无忘告乃翁
tiandiyouzhengqi 天地有正气
zaranfuliuxing 杂然赋流形
xiazeweiheyue 下则为河岳
shangzeweirixing 上则为日星
yurenyuehaoran 于人曰浩然
peihusaicangming 沛乎塞苍冥
shiqiongjienaijian 时穷节乃见
yiyichuidanqing 一一垂丹青
de 的
yi 一
shi 是
le 了
wo 我
bu 不
ren 人
zai 在
ta 他
you 有
zhe 这
ge 个
shang 上
men 们
lai 来
dao 到
shi 时
da 大
di 地
wei 为
zi 子
zhong 中
ni 你
shuo 说
sheng 生
guo 国
nian 年
zhe 着
jiu 就
na 那
he 和
yao 要
ta 她
chu 出
ye 也
de 得
li 里
hou 后
zi 自
yi 以
hui 会
jia 家
ke 可
xia 下
er 而
guo 过
tian 天
qu 去
neng 能
dui 对
xiao 小
duo 多
ran 然
yu 于
xin 心
xue 学
me 么
zhi 之
dou 都
hao 好
kan 看
qi 起
fa 发
dang 当
mei 没
cheng 成
zhi 只
ru 如
shi 事
ba 把
hai 还
yong 用
di 第
yang 样
dao 道
xiang 想
zuo 作
zhong 种
kai 开
mei 美
zong 总
cong 从
wu 无
qing 情
ji 己
mian 面
zui 最
nv 女
dan 但
xian 现
qian 前
xie 些
suo 所
tong 同
ri 日
shou 手
you 又
xing 行
yi 意
dong 动
fang 方
qi 期
tou 头
jing 经
zhang 长
er 儿
hui 回
wei 位
fen 分
ai 爱
lao 老
yin 因
hen 很
gei 给
ming 名
fa 法
jian 间
zhi 知
shi 世
shen 什
liang 两
ci 次
shi 使
shen 身
zhe 者
bei 被
gao 高
yi 已
qin 亲
qi 其
jin 进
ci 此
hua 话
chang 常
yu 与
huo 活
zheng 正
gan 感
jian 见
ming 明
wen 问
li 力
li 理
er 尔
dian 点
wen 文
ji 几
ding 定
ben 本
gong 公
te 特
zuo 做
wai 外
hai 孩
xiang 相
xi 西
guo 果
zou 走
jiang 将
yue 月
shi 十
shi 实
xiang 向
sheng 声
che 车
quan 全
xin 信
zhong 重
san 三
ji 机
gong 工
wu 物
qi 气
mei 每
bing 并
bie 别
zhen 真
da 打
tai 太
xin 新
bi 比
cai 才
bian 便
fu 夫
zai 再
shu 书
bu 部
shui 水
xiang 像
yan 眼
deng 等
ti 体
que 却
jia 加
dian 电
zhu 主
jie 界
men 门
li 利
hai 海
shou 受
ting 听
biao 表
de 德
shao 少
ke 克
dai 代
yuan 员
xu 许
xian 先
kou 口
you 由
si 死
an 安
xie 写
xing 性
ma 马
guang 光
bai 白
huo 或
zhu 住
nan 难
wang 望
jiao 教
ming 命
hua 花
jie 结
le 乐
se 色
anlewo 安乐窝
baigujing 白骨精
bairimeng 白日梦
banbiantian 半边天
banjiaoshi 绊脚石
baohusan 保护伞
baofojiao 抱佛脚
beiheiguo 背黑锅
bimengeng 闭门羹
bianselong 变色龙
cabianqiu 擦边球
chaoyouyu 炒鱿鱼
chicu 吃醋
chixiaozao 吃小灶
chiyadan 吃鸭蛋
chuanxiaoxie 穿小鞋
danxiangsi 单相思
dayouji 打游击
dianguihuo 点鬼火
diaoweikou 吊胃口
dingliangzhu 顶梁柱
dingxinwan 定心丸
dongdaozhu 东道主
duitaixi 对台戏
ezuoju 恶作剧
erpangfeng 耳旁风
fangkongpao 放空炮
fanglengjian 放冷箭
guibaxi 鬼把戏
guimenguan 鬼门关
guohezu 过河卒
heimingdan 黑名单
hongyanbing 红眼病
hongmenyan 鸿门宴
hushenfu 护身符
huimaqiang 回马枪
jixianfeng 急先锋
jinguzhou 紧箍咒
kailvdeng 开绿灯
kaimenhong 开门红
kaixiaochai 开小差
koutouchan 口头禅
koumaozi 扣帽子
laodaocao 捞稻草
laodanan 老大难
laodiaoya 老掉牙
laohuli 老狐狸
laohuangli 老皇历
loumajiao 露马脚
luantanqin 乱弹琴
madaha 马大哈
mafengwo 马蜂窝
mahoupao 马后炮
maqianzu 马前卒
menwaihan 门外汉
mihunzhen 迷魂阵
moyanggong 磨洋工
niujiaojian 牛角尖
niubizi 牛鼻子
nongchaoer 弄潮儿
paimapi 拍马屁
paolongtao 跑龙套
pengdingzi 碰钉子
potianhuang 破天荒
qianlima 千里马
qiangtoucao 墙头草
qiaobiangu 敲边鼓
qiaomenzhuan 敲门砖
qiaozhugang 敲竹杠
rouzhongci 肉中刺
ruziniu 孺子牛
sanbuguan 三不管
sancunshe 三寸舌
shiliyan 势利眼
shijinshi 试金石
shoucainu 守财奴
shuabaxi 耍把戏
shuahuazhao 耍花招
shuapinzui 耍贫嘴
taohuayun 桃花运
tipiqiu 踢皮球
tiefanwan 铁饭碗
tiegongji 铁公鸡
wanjinyou 万金油
wolidou 窝里斗
wushamao 乌纱帽
xiamawei 下马威
xiaosuanpan 小算盘
xiaomianhu 笑面虎
yaoqianshu 摇钱树
yidaoqie 一刀切
yiguoduan 一锅端
yiguozhou 一锅粥
yipanqi 一盘棋
yiwofeng 一窝蜂
yiyantang 一言堂
yingshengchong 应声虫
yushuiqing 鱼水情
zafanwan 砸饭碗
zhaoyaojing 照妖镜
zhimaguan 芝麻官
zhiniuer 执牛耳
yichangyihe 一唱一和
yihubaiying 一呼百应
yiganerjing 一干二净
yijuliangde 一举两得
yiluoqianzhang 一落千丈
yimuyiyang 一模一样
yixinyiyi 一心一意
yibaitudi 一败涂地
yibenzhengjing 一本正经
yijianrugu 一见如故
yijianshuangdiao 一箭双雕
yimuliaoran 一目了然
yiqiaobutong 一窍不通
yishitongren 一视同仁
yixieqianli 一泻千里
yichengbubian 一成不变
yifanfengshun 一帆风顺
yiguzuoqi 一鼓作气
yirujiwang 一如既往
yisibugou 一丝不苟
yizhenjianxue 一针见血
yizhibanjie 一知半解
liangquanqimei 两全其美
liangxiuqingfeng 两袖清风
sangumaolu 三顾茅庐
sanlingwushen 三令五申
sansierxing 三思而行
sanxineryi 三心二意
sihaiweijia 四海为家
simianchuge 四面楚歌
sitongbada 四通八达
wuguangshise 五光十色
wuhuabamen 五花八门
wuyanliuse 五颜六色
xuefuwuche 学富五车
liushenwuzhu 六神无主
qilingbaluo 七零八落
qishangbaxia 七上八下
qizuibashe 七嘴八舌
bamianlinglong 八面玲珑
baxianguohai 八仙过海
jiusiyisheng 九死一生
jiuniuyimao 九牛一毛
shinajiuwen 十拿九稳
shiquanshimei 十全十美
shiwanhuoji 十万火急
baifabaizhong 百发百中
baihuaqifang 百花齐放
bainiandaji 百年大计
baizhebunao 百折不挠
qianbianwanhua 千变万化
qianfangbaiji 千方百计
qianjunwanma 千军万马
qianjunyifa 千钧一发
qianshanwanshui 千山万水
qianxinwanku 千辛万苦
qianzhenwanque 千真万确
wanshuiqianshan 万水千山
wanzhongyixin 万众一心
wanziqianhong 万紫千红
toucijianmianyongjiuyang 头次见面用久仰
henjiubujianshuojiuwei 很久不见说久违
qingrenpipingshuozhijiao 请人批评说指教
qiurenyuanliangyongbaohan 求人原谅用包涵
qingrenbangmangshuolaojia 请人帮忙说劳驾
mafanbierenshuodarao 麻烦别人说打扰
duibierenbiaoqianyongshijing 向人表歉用失敬
bierenlikaiyongzaijian 别人离开用再见
qingrenbusongyongliubu 请人不送用留步
huanyinggukechengguanggu 欢迎顾客称光顾
