# 汽车类型、品牌、部件、购车术语、常用语（本地常用，完整车系可走远程拉取）
# 格式：pinyin 词（与 pinyin_words.txt 一致）
jiaoche 轿车
fenqi 分期
yuegong 月供
lixi 利息
baoxian 保险
jiaoqiangxian 交强险
shangyexian 商业险
lupai 上牌
paizhao 牌照
chepai 车牌
xuanhao 选号
gouzhishui 购置税
chechuanshui 车船税
nianjian 年检
baoyang 保养
weixiu 维修
qibufei 起步费
ranliaofei 燃料费
dianfei 电费
baoxiuqi 保修期
shouhoufuwu 售后服务
4sdian 4S店
jingxiaoshang 经销商
qichesidian 汽车4S店
ershouche 二手车
xinche 新车
shijiache 试驾车
zhanshiche 展示车
kucunche 库存车
yunshuche 运输车
tichedan 提车单
gouchehetong 购车合同
fapiao 发票
hegezheng 合格证
yonghushouce 用户手册
baoyangshouce 保养手册
jiage 价格
chengjiaojia 成交价
tiemo 贴膜
ditan 地垫
zuoyitao 座椅套
jiazhuang 加装
gaizhuang 改装
tuikuan 退款
jiekuan 借款
shouxufei 手续费
shenqing 申请
pifu 批复
fangkuan 放款
huankuan 还款
tiqianhuankuan 提前还款
weiyuejin 违约金
jieyue 解约
jiashi 驾驶
daoche 倒车
tingche 停车
jiazhao 驾照
jiashizheng 驾驶证
xingshizheng 行驶证
weizhang 违章
koufen 扣分
fakuan 罚款
jiaojing 交警
honglvdeng 红绿灯
lukou 路口
lubiao 路标
xiansu 限速
jiasu 加速
jiansu 减速
zhuanwan 转弯
zhixing 直行
diaotou 掉头
chaoche 超车
biandao 变道
qiangdao 抢道
huatai 滑胎
baotai 爆胎
tuoche 拖车
jiuyuan 救援
baoxiangongsi 保险公司
shigu 事故
zhuangche 撞车
huashang 划伤
zhuiwei 追尾
zhadao 扎道
duche 堵车
yongdu 拥堵
gaosugonglu 高速公路
shoufeizhan 收费站
fuwuqu 服务区
jiayouzhan 加油站
chongdianzhan 充电站
xichedian 洗车店
weixiuchang 维修厂
baoyangdian 保养店
qichemeirong 汽车美容
xiche 洗车
dala 打蜡
fengbi 封釉
dipanzhuangjia 底盘装甲
tiaozheng 调整
jiancha 检查
genghuan 更换
chongdian 充电
yongche 用车
aiche 爱车
peijian 配件
fujian 附件
gongjuxiang 工具箱
beitai 备胎
silundingwei 四轮定位
luntaiyali 轮胎压力
qiyabiao 气压表
chezai 车载
lanya 蓝牙
dianyuan 电源
fadong 发动
xihuo 熄火
reche 热车
lengche 冷车
gaosu 高速
chengshidaolu 城市道路
xiangcundaolu 乡村道路
shanlu 山路
nininglu 泥泞路
xuelu 雪路
wandao 弯道
podao 坡道
xiapo 下坡
shangpo 上坡
qibu 起步
rangxing 让行
xingren 行人
zixingche 自行车
motuoche 摩托车
gonggongqiche 公共汽车
dahuoche 大货车
chuzuche 出租车
wangyueche 网约车
sijiache 私家车
jiehunchedui 结婚车队
chewei 车位
cheku 车库
chepeng 车棚
chexing 车型
chese 车色
chehao 车号
cheliangdengji 车辆登记
cheliangnianjian 车辆年检
cheliangbaoyang 车辆保养
cheliangweixiu 车辆维修
chelianggaizhuang 车辆改装
cheliangguohu 车辆过户
